cid,mp
2479,166.50
2554,190.20
2576,92.00
6024,160.25
2708,65.00
5959,151.00
2719,87.00
2720,342.75
2724,90.00
2726,60.00
2803,130.00
5284371,157.50
6167,146.00
2893,51.50
2907,51.25
2913,112.80
6253,212.50
6914273,279.00
5743,263.00
5826,27.50
5360696,110.00
3016,132.00
448537,170.50
10660,104.50
31703,230.00
9294,38.10
12560,191.00
14052,88.15
3366,296.00
6215,266.00
15209,251.00
3393,79.50
3440,206.00
3467,105.00
3487,86.00
3516,78.75
3559,151.50
3639,274.00
5284569,198.00
3672,76.00
12597,62.50
11368,203.50
5819,235.50
3964,109.50
4020,198.50
10631,214.50
4044,230.50
4064,105.00
4095,99.50
6292,120.00
4107,93.00
6476,52.50
4158,74.50
6741,232.50
4162,75.50
4173,159.00
23897,180.50
938,237.00
6604200,263.00
4567,111.00
4616,205.50
5284603,219.00
4636,182.00
4680,147.50
4723,256.50
441278,146.30
4737,130.00
4754,134.50
4760,150.00
4763,174.00
4781,105.00
1775,296.50
5910,34.00
5865,234.00
4909,281.50
4917,228.00
4927,60.00
10100,75.50
62882,163.50
7028,118.35
135398735,185.50
5193,100.00
5833,134.50
5329,167.00
5452,73.00
5503,171.50
31307,270.00
5572,114.00
5574,68.00
5978,219.00
54676537,197.50
4649,150.50
2197,156.50
5901,158.00
28204,128.00
33255,199.00
6234,155.50
135398738,205.00
54676038,290.00
5790,150.50
3385,282.00
6172,147.50
4030,288.50
460612,182.50
667490,308.00
15459,122.00
9681,195.00
163659,181.50
5746,360.00
4211,77.00
4421,229.50
4628,315.00
27350,215.00
8280,31.50
9853654,229.50
54680692,179.50
4842,106.50
708857,178.50
237,248.00
13769,218.50
5453,51.50
13342,213.50
2802,237.50
2812,148.00
3038,240.00
3295,189.25
5322,167.25
135191,153.50
5284595,208.00
5284596,178.00
1989,189.00
6083,198.00
2164,157.00
8944,83.00
6005,195.00
6464,140.75
9330,51.00
2342,130.75
2343,231.50
2717,117.20
11289,115.00
2882,241.50
2910,234.00
3025,64.00
667476,227.50
5311071,131.00
5280363,30.00
3055,104.50
3117,71.50
6011,151.00
3168,145.50
9051,170.00
3182,158.00
5870,260.20
3284,97.00
13765,77.00
3345,85.20
10617,195.00
5876,210.50
774,83.50
3647,272.50
5284570,266.50
44475014,200.00
6238,222.50
27648,224.50
5241,168.50
6047,285.00
5359272,198.50
3676,68.00
11125,723.00
4055,106.00
10599,139.50
6300,163.50
1349907,147.00
57333099,214.00
4121,225.00
6010,163.50
4170,256.00
9904,112.00
156391,155.00
6230,204.00
275196,176.00
5878,236.50
5281034,187.50
31264,12.60
5852,204.00
4748,97.00
4753,214.00
5775,175.00
6041,170.50
4906,37.50
4911,195.00
4914,61.00
5994,129.00
657298,220.00
6307,251.00
5505,129.00
5342,136.50
8275,109.00
6013,151.00
2153,274.00
5440,63.00
941651,116.00
5546,316.00
6503,171.50
20266,50.00
200742,75.50
8081,64.00
6883,70.00
4347343,171.50
7293,108.00
2328,139.70
3496,230.00
6805,161.00
33256,175.00
4690,123.50
186907,268.00
2724360,287.50
2724361,245.00
2724362,238.50
9543442,254.50
205586,-12.78
636822,62.50
2355,188.00
439202,184.00
441852,238.50
5281316,185.00
5281317,207.25
57134655,251.00
5311281,219.50
442635,54.50
5280453,113.00
76961570,115.00
304599,91.50
3442,97.00
5390854,178.00
9548611,19.50
23205,167.50
442736,58.00
76957522,124.50
11768666,282.00
10212,102.00
442741,228.00
10098,244.00
6436598,297.00
15560077,302.00
11128,142.50
131876110,287.00
6736,95.00
440473,225.00
9415,197.50
16817,180.50
5284433,222.50
11541511,250.00
439501,200.00
4696,111.00
1268111,83.50
1001,0.00
4970,208.00
6199,171.00
5280343,316.50
5281743,212.00
56840856,212.00
11969548,169.00
5280906,236.00
5281752,198.00
8742,183.75
442985,201.00
5280389,246.00
6433563,122.50
11174599,225.00
5284461,151.50
23616879,242.50
5281267,142.50
5458428,269.00
71449781,326.00
637577,106.00
10658,140.00
101615,179.00
28523,265.50
656516,224.50
15103,265.00
10198,119.50
92124,278.00
5702160,163.50
4513,131.00
1046,192.00
3957,135.00
8271,176.00
3292,94.00
4060,136.50
1990,90.50
5426,270.00
6291,151.00
5757,178.50
5756,288.00
9324,213.00
9880,200.50
40973,109.50
3033968,197.90
4542,206.00
29402,79.80
8460,137.80
248886,72.00
33133,46.00
8456,51.00
36573,123.20
134601,246.50
2756,142.00
2314,129.60
36392,42.50
5761,82.00
33500,32.30
7550,153.00
3001055,69.50
5282379,174.50
17161,152.50
114878,120.00
11969,148.50
11497,110.00
26229,156.50
36187,183.00
5799,160.00
5954,156.00
3080,77.00
4768,39.00
178,81.16
5240,82.50
6295,56.00
6418,20.00
6811,131.40
6914,69.50
7056,59.50
7452,89.50
7638,122.50
8368,25.80
8453,131.00
8486,202.00
31423,150.62
697993,180.95
1539,131.50
9106,283.60
9108,318.00
9119,164.50
9126,244.40
9128,178.50
9135,125.40
9140,114.50
9152,165.20
9153,168.40
9177,216.00
9183,228.00
86,164.00
11937,239.50
2140,300.00
14992,216.00
16421,36.00
4793,47.75
16929,184.00
16930,152.50
16933,156.50
17026,150.50
17347,141.00
17857,10.00
21209,91.00
4929,119.00
3032581,200.00
5284462,97.50
7271,67.00
1923,74.00
5184,59.00
443884,162.00
8223,213.00
5897,194.00
6280,180.00
6527,11.00
11232,25.50
6956,228.00
8341,304.50
3417419,131.00
533728,95.00
11769,103.00
2779938,87.50
4338370,140.00
6374,119.00
6488,117.50
6702,205.50
4021,127.00
7069,112.00
7447,118.00
676454,154.00
2735009,69.50
8445,51.50
8588,127.00
2724103,163.50
9216,119.00
9903,185.00
12076,269.00
16682740,10.00
15685,123.00
16720,190.00
23392,169.50
23394,140.00
36613,209.50
17652,33.50
5284369,60.00
11976,67.50
13205,106.00
13297,134.00
21238,344.00
6305,282.00
7220,100.00
7444,105.50
1678,69.00
15625,305.00
42540,285.50
4764,262.50
7409,20.70
4984721,205.80
17734,102.75
18692,113.00
5963,243.00
17190,331.00
439517,207.00
36383,95.50
15767,109.00
6899,68.50
460,32.00
7050,89.00
2482,58.00
5801,172.00
7258,68.00
7443,43.00
7771,25.70
8443,110.00
9015,54.00
9016,59.00
9808,4.00
11334,58.00
11571,68.00
11776,80.50
11899,34.00
12463,47.50
12468,51.00
5356785,1.00
11737,182.00
5354284,283.00
17888,57.50
18555,61.50
433294,610.00
29910,199.00
66,59.00
15008,151.00
5816,211.50
144,299.00
11089,162.25
12774,35.50
39929,227.50
6046,29.00
13232,-3.89
5955,154.00
4921319,169.00
5931,87.00
13076,182.40
524223,93.00
41206,168.50
660,25.00
969516,183.00
14793,290.00
6264,25.80
5280707,151.50
17604,95.50
26108,288.00
17047,271.00
7092,76.50
24290,679.00
8715,205.00
11057,215.00
8360,132.00
14770,1238.00
5328,210.00
5355457,727.00
7492,174.00
10707,117.75
6763,206.50
5359464,304.00
22772,106.00
26041,240.00
24560,64.50
20525,114.00
4632,65.50
6432077,300.00
985,62.49
6144,300.00
6395,20.00
6808,137.00
6809,238.00
7547,254.40
999,76.70
5315892,33.00
8039,258.00
5281116,33.80
10340,856.00
10997,300.00
638088,124.00
12329,10.30
14766,1650.00
3007857,1974.00
10219853,743.00
15629,81.50
5461123,1410.00
23954,960.50
5352426,231.90
253881,755.00
4875,681.00
24414,1580.00
24436,884.00
24437,911.00
253877,730.00
145326,966.00
516951,253.00
24507,1067.00
26052,698.00
27677,270.00
16747781,1630.00
19998,172.00
11957,14.70
8765,108.50
11942,328.30
23892,179.00
25674,273.00
24842,254.00
7263,76.00
8819,158.00
11830,91.50
9181,108.00
30323,208.50
5889,269.00
9134,158.00
9131,164.00
4156,20.00
135436526,118.00
9334,109.50
12967,100.00
12699,123.00
12613538,47.00
25811,66.50
32154,155.50
25142,60.00
19283,35.50
