cid,mp
24408,"-7.2 °C"
8007,"-50 °C"
280,"-56.558 °C (triple point)"
24870,"-59 °C"
14915,"197 °C"
104730,"1,495 °C"
N/A,"-165 °C"
7239,"-16.7 °C"
10943,"-24.8 °C"
4685,"53.1 °C"
8021,"-50 °C"
8111,"-39 °C"
7958,"-41.5 °C"
5976,"-58 °C"
1493,"114.8 °C"
7095,"69 °C"
700,"10.4 °C"
6332,"-118.4 °C"
6337,"-138.7 °C"
6517,"-82.5 °C"
3301,"8.5 °C"
7839,"9.8 °C"
40818,"-22.3 °C"
8133,"-74.8 °C"
8095,"-61.7 °C"
9033,"Freezing point: -71.5 °C"
24524,"-219.67 °C (triple point)"
7362,"-38.1 °C"
11583,"-55.5 °C"
9321,"1.54 °C"
313,"-114.22 °C"
14917,"-83.57 °C"
784,"-0.43 °C"
533,"-65.73 °C"
62714,"688.7 °C"
23930,"1246 °C"
23986,"2233 °C"
23987,"No triple point"
3589,"95-96 °C"
15830,"198 °C (DECOMP)"
517165,"114 °C"
12960,"-40 °C"
16211447,"MP: 31 °C (6H2O) /Hexahydrate/"
6184,"-58.2 °C"
16247,"93-94 °C"
8119,"-37 °C"
4101,"Sublimes at about 260 °C without melting and with partial decomposition"
8630,"200-201 °C"
8103,"-44.6 °C"
3610,"67.5-69 °C"
8478,"164-166 °C (HOT STAGE)"
260,"-86.80 °C"
26053,"Melting point 73.5 °C. Decomposition to nitric acid and basic aluminum nitrates ... begins at 130 °C. Dissociation to aluminum oxide and oxides of nitrogen occurs above 500 °C.  /Nonahydrate/"
402,"-85.49 °C"
785,"170-171 °C"
4327536,"Browning temp: 205-210 °C"
787,"33 °C"
8438,"37 °C"
24479,"246 °C"
24243,"1583 °C"
54675810,"Decomposes at 174 °C"
5541,"-78 °C"
33934,"-4 °C /From Table/"
643460,"134.5 °C"
4947,"147-149 °C"
1254,"-8 °C"
7794,"147 °C"
16213126,"Freezing point: -30 °C"
34023,"-89 °C"
798,"52 °C"
2124,"1291 °C"
24640,"ALPHA 27.2; BETA 13.9 °C"
24685,"90 °C"
4944,"87 °C"
23925,"1,538 °C"
31260,"-117.2 °C"
24012,"192.6 °C"
6360,"-138.3 °C"
8038,"-98.8 °C"
7819,"-61 °C"
6558,"-85 °C"
8255,"-140.7 °C"
6561,"-65.9 °C"
14899,"-100 °C"
32898,"FP: LESS THAN 140 °F= LESS THAN 60 °C= LESS  THAN 333 DEG K"
5971,"-80 °C"
6556,"-159.8 °C"
6544,"-8.1 °C"
6557,"-145.95 °C"
18052,"Freezing point: -112 °F = -80 °C = 193 K"
7841,"-119 °C"
6358,"-89.0 °C"
7914,"-86.8 °C"
6364,"-130.7 °C"
8042,"Approximately 3 °C"
8128,"1-3 °C"
11552,"-51 °C"
10430,"-29.3 °C"
8268,"77.5 °C"
10038,"-150 °C"
9215,"111 °C; 106 °C (form a); 110 °C (form b)"
309,"194-195 °C (WITH DECOMP)"
24931,"410 °C"
24924,"470 °C"
14827,"887 °C"
9794739,"1113 °C"
11025,"175-180 °C"
11616,"190 °C, DECOMPOSES"
33446,"Decomposes"
24464,"1130 °C (stolzite)"
6549,"Freezing point: below -74 °C /OECD Guideline 102 (Melting point / Melting Range)/"
N/A,"112.5 °C"
3028194,"180.54 °C"
28112,"Decomposes >125 °C"
24532,"Starts to decompose at 320 °C and melts at 375 °C"
224478,"848.2 °C"
2244,"135 °C (rapid heating)"
5462224,"651 °C"
6505,"-80 °C"
5360315,"712 °C (rapid heating)"
73981,"350 °C (decomposes)"
24840,"Decomposes at 250 °C"
6367,"-112.7 °C"
10482,"-95.5 °C"
24083,"Decomposes @ 1124 °C"
4004,"3.85 °C"
444266,"132.5 °C  (OECD Guideline 102 (Melting point / Melting Range))"
9298,"41 °C"
5125,"Below -25 °C"
